V1,Control.M.6-Rapamycin.M.6_logFC,Control.M.6-Rapamycin.M.6_logCPM,Control.M.6-Rapamycin.M.6_LR,Control.M.6-Rapamycin.M.6_PValue,Control.M.6-Rapamycin.M.6_FDR
Ly6c1,-1.69515590773458,-0.461670327199284,6.51652074641322,0.0106876888529337,0.514571774144094
Gm43302,-1.87025732897467,0.0988085336428831,6.99510431596495,0.0081732945326889,0.445932718087255
Taf9-ps,-1.66534970119555,-0.92679321629518,4.86724678879447,0.0273711357969827,0.657203953664125
Gm6285,-2.95566793097824,-0.47800384643753,3.9765136342923,0.046138967814208,0.758044747664881
Gm11407,-3.61103738268694,-1.82953096568383,6.096544799187,0.0135446461816168,0.545092088043373
Gm8213,-2.67899519391183,0.279245592707469,6.12109389943771,0.0133578114661187,0.541974553546633
Gm13339,-3.45848052288499,3.97659806934565,23.622440586177,1.17212600155246e-06,0.0024370557395592
Gm13586,-2.95624830968837,-1.44842899681753,3.91291632752262,0.0479163797942951,0.759158818029337
Gm9083,1.81896678769637,0.58593298404051,5.74787771076409,0.0165085888989679,0.5764675217627
Rps15a-ps4,-1.57321941282974,0.33492513814504,8.49199388549756,0.0035671266470289,0.306581110641963
Gm12009,-3.61499007155248,-1.32957529544707,6.19552366046535,0.0128073823710526,0.541821264245182
Mup-ps20,3.31946686159633,-2.64947459871486,4.33645618438614,0.0373044928955541,0.719360221264569
Ttc39aos1,2.11431190806458,0.538373013995165,4.24828062959593,0.0392900898750692,0.738701021826095
Gm13657,-2.0733790408902,-0.998981492026892,9.72167382519486,0.0018210759025911,0.212494302035202
Gm11773,-1.87504617136451,-1.54059484244506,4.37124408254094,0.0365502975809508,0.716426202896152
Nat8f7,-1.73204564982918,1.92403992797498,4.22127734676707,0.0399200979143961,0.741239105700062
Rdh1,-1.7984520492865,-0.937487839468433,6.22700337972987,0.0125816475910862,0.541821264245182
Sult3a2,3.62204418046913,3.6093550622776,5.46288970980863,0.0194244973728436,0.60530217349372
Gm17655,-1.76647471591674,-1.62779024936347,5.34516249810991,0.0207798465300708,0.612330245265873
Gm17300,1.93389596339855,-1.12062421645087,9.48101989733758,0.0020760852025083,0.228884814119297
Cyp2c69,-2.67739636495004,6.56924348199842,14.8677166594512,0.000115319789725,0.0438929085367592
