V1,Control.M.6-alphaestradiol.M.6_logFC,Control.M.6-alphaestradiol.M.6_logCPM,Control.M.6-alphaestradiol.M.6_LR,Control.M.6-alphaestradiol.M.6_PValue,Control.M.6-alphaestradiol.M.6_FDR
Mecom,-1.6642632615659,-0.447703953064333,11.8443696710827,0.0005783594918607,0.0770471236407196
Hao2,-4.00007981623892,4.9136740790111,16.2725903295966,5.48516908150432e-05,0.0159428932612597
Sypl2,-4.85190628690977,-1.84587119328475,7.33908673791786,0.0067471108972044,0.347933273557129
Egf,-4.32671597954349,0.451944779754293,36.243204399646,1.7416626489242402e-09,5.56844382114058e-06
Ptgfr,-2.9351153133689,-1.10730759673959,9.82005705729764,0.0017261898697917,0.149972126404837
Ifi44,-1.53489821132224,1.14227426732965,7.57704942810476,0.0059116127293914,0.319766127460826
Nr4a3,-3.63804513084329,-1.71801603960164,7.16785445776675,0.0074221492059657,0.365078391404828
Kif12,-1.85232255209605,-0.755205772832203,10.9833106904703,0.000919360462741,0.100663673680679
Aqp3,-4.62190588021722,-1.78885385084871,8.18285380464508,0.0042288179875526,0.26826144582943
Bnc2,-5.48701556112979,-2.20419754043508,25.4762893403812,4.47853166132316e-07,0.0003977433729884
Sh3gl2,-4.09134871908681,-2.67555354975613,7.69415553847211,0.0055399924248779,0.309993364049969
Cyp4b1,-3.17636761137808,4.0206392303253,39.9914480425843,2.55077174111885e-10,1.35922123511753e-06
Pdzk1ip1,-3.85881828810749,0.554360778867491,26.4307982604888,2.73150313200651e-07,0.0002973123067318
Sema3c,-1.94587581051707,-0.874188303312119,11.3377584979028,0.0007594693716413,0.0912847922936691
Slc30a2,-4.87984778689468,-1.58824154206996,14.4991200885814,0.00014022502617,0.0287389393378808
Cnksr1,-1.66023936962442,-1.46272614141426,7.65640371693653,0.005657115788136,0.314291528498955
Angptl7,-3.93528239362057,-0.0653129924722834,34.6596861884846,3.92679825776525e-09,8.96768527837646e-06
Bst1,-2.83413100573439,-1.10479975110031,8.41367829992724,0.0037240842949078,0.252259370925408
Prom1,-1.84458608098589,1.22238140124811,7.64229823514719,0.0057015227864817,0.314291528498955
Cgref1,-1.52459837564219,0.436533176965551,6.24838713972727,0.0124306442222864,0.467567714205812
Tmem116,-1.87112272325743,-0.995753658293998,8.74528873014938,0.0031040295035207,0.221294258168845
Mug2,2.60437807517758,7.74728981107016,6.40503809692818,0.0113796984752994,0.454415608494618
Ldhb,-2.90207640149774,2.24795391974735,24.5213961326725,7.34892225209502e-07,0.0005594279577237
Clec2h,3.05799682292458,0.727343073187624,4.39303553275178,0.0360860100928794,0.741646722661018
Xylt1,-2.03193761976424,-1.44633062574722,8.14175677687358,0.0043257354078343,0.269529391382331
Far1,-1.59984559643312,0.831780686063968,12.7714284275191,0.0003519539710979,0.0546904118235016
Pycard,-1.65330657567694,-0.959666107503418,6.17870592090898,0.0129296806903619,0.471903825379283
Acsm2,-5.89897837295022,2.3187871917808,38.2836867822514,6.11718941497737e-10,2.44473474969571e-06
Cdx4,4.42501398204712,-1.70474345922696,7.06185600772488,0.0078742377386224,0.378015268823939
Plat,-1.94367820615858,-1.39693769369747,5.24976002468326,0.0219497979514608,0.594727915342463
Sfrp1,-2.1229941834249,-0.194028466793182,8.60364555948833,0.0033549077451478,0.233210213289269
Mfap3l,-3.13139476360532,-0.910519933109094,20.4208581352399,6.214872287812e-06,0.00310471713728
Irx3,-1.54774269574693,-0.411264383309744,5.25175233171164,0.0219246809253776,0.594727915342463
Cx3cl1,-1.70701582977069,-0.372341225277004,7.42000134618482,0.0064502767320071,0.340085088172933
Treh,-1.91145638303649,0.0829738951074215,13.7941267827142,0.0002039728769532,0.0388179810830383
Calml4,-1.82483240171727,-0.517148789095733,11.2903047719717,0.0007791289030568,0.0922604047723415
Car12,-8.451803058703,-1.58656968761145,10.1960729598684,0.0014074004681059,0.129302895880125
Plod2,-2.51159832107249,-0.839967504230231,10.820844598023,0.0010036369460831,0.104845733838901
Rab6b,-2.79545732099465,-1.61426573775327,6.29320202666842,0.0121201896803451,0.46352476610047
