V1,SnellDwarfMiceControl.M-SnellDwarfMice.M_logFC,SnellDwarfMiceControl.M-SnellDwarfMice.M_logCPM,SnellDwarfMiceControl.M-SnellDwarfMice.M_LR,SnellDwarfMiceControl.M-SnellDwarfMice.M_PValue,SnellDwarfMiceControl.M-SnellDwarfMice.M_FDR
Slc13a5,4.85194403947308,1.10530935435031,29.1033116495062,6.86195889865713e-08,2.21606616068551e-06
Coro6,-3.94144476461317,-1.41227635111115,10.0091827877012,0.0015576162296136,0.0124860219911504
Slc6a4,1.7123757167256,-1.13371330499704,6.12359794129884,0.0133389036123971,0.0641889563960809
Gfap,1.71872941622047,-0.577255891702924,5.2263712034319,0.0222468996452309,0.0921772619543609
Plek2,-1.82260548482066,-0.412138147238412,12.7823592451676,0.0003499033592485,0.0037018895439754
Acot2,-1.50219026909934,5.5952339636214,15.216381583514,9.58681794646983e-05,0.0012449624020492
Acot3,-3.46076602596087,5.25521428588413,18.0613283016755,2.13902113462818e-05,0.0003527013888457
Hhipl1,1.51242720643748,1.02820528786742,4.61364328813514,0.0317185768760074,0.118056616982504
Carmil1,5.42734382559079,2.70037312317726,156.156097952446,7.826305248257149e-36,4.46826127495139e-33
Cap2,-2.51336854794076,-0.398181064604873,4.57150298438052,0.0325080325969982,0.120156686043821
Fbp2,-2.02054316899109,-1.36386679444061,4.22551922728057,0.0398204339116963,0.138414754623261
Cxcl14,2.970418398057,0.275403429132113,9.25042113919054,0.0023544127470175,0.0172731832027024
Srd5a1,3.10642274563358,5.23084235374534,128.595260156855,8.31586990222798e-30,3.40865375017991e-27
Ckmt2,-9.46618382862684,-0.805661271207456,6.89553759821441,0.0086411173106307,0.046236675186741
Cfap20dc,6.94747290064545,-1.84806690558881,26.2494328098943,3.0004293285682e-07,8.37083128211017e-06
Fst,-2.74278030360346,0.682357313932975,22.2762786067676,2.36105340788552e-06,5.18458788165632e-05
Ldb3,-6.11199510571129,-0.490457820918326,7.9985564109042,0.0046814658249477,0.0292107387500446
Nid2,1.50937127880349,2.30328665693156,18.8102732541063,1.44387300542163e-05,0.000250073172965
Amer2,-2.53762313968498,0.183291013931386,13.4612573729333,0.0002435404884335,0.002730181099648
